X,Y,wmElementN,wmType,wmLatitude,wmLongitud,icon_url
-93.7391714472706,47.3727475112668,"51911435787",Transformer,47.37284088130,-93.73915863040,./0.png
-94.040892316178,47.4315720091047,79a372016,Transformer,47.43166732790,-94.04088592530,./0.png
-93.8404198376872,47.251543979197,77H547227,Transformer,47.25163650510,-93.84040832520,./0.png
-93.7315935661017,47.395646455257,"90808767753",Transformer,47.39574050900,-93.73158264160,./0.png
-93.7132424103577,47.4074451880329,"07200315",Transformer,47.40753936770,-93.71323394780,./0.png
-94.021789409936,47.4368500018754,"1009015",Transformer,47.43694305420,-94.02178192140,./0.png
-94.043595220354,47.4302923211271,11B5696368,Transformer,47.43038558960,-94.04358673100,./0.png
-93.7159428323328,47.4084915619054,77J554118,Transformer,47.40858459470,-93.71593475340,./0.png
-93.7154143691644,47.4073144472569,98LE493006,Transformer,47.40740966800,-93.71540069580,./0.png
-93.9194226375035,47.2528322328124,"881118343",Transformer,47.25292587280,-93.91941070560,./0.png
-93.7108067278431,47.4082164015355,0714B76X,Transformer,47.40830993650,-93.71079254150,./0.png
-93.9603892030726,47.3983986361228,"761028961",Transformer,47.39849472050,-93.96038055420,./0.png
-93.7179332288922,47.4307679081961,"50908897298",Transformer,47.43086242680,-93.71792602540,./0.png
-93.9240007381412,47.3152816110692,"51911435781",Transformer,47.31537628170,-93.92398834230,./0.png
-93.7535319923317,47.3960418594943,"500852378",Transformer,47.39613723750,-93.75352478030,./0.png
-93.7535818780144,47.3983208280345,E5887177,Transformer,47.39841461180,-93.75357055660,./0.png
-93.7483836524633,47.4031216197699,93NJ100001,Transformer,47.40321731570,-93.74837493900,./0.png
-93.7522336148486,47.4036807135463,70F750763A,Transformer,47.40377426150,-93.75222015380,./0.png
-93.7521197935576,47.4000767633075,"60608275981",Transformer,47.40017318730,-93.75210571290,./0.png
-93.9286398888558,47.3683687431341,76A360759,Transformer,47.36846160890,-93.92862701420,./0.png
-93.9306312214201,47.3682292375507,9E750399A,Transformer,47.36832427980,-93.93061828610,./0.png
-93.9306567994925,47.3701987658826,25Z4742622,Transformer,47.37029266360,-93.93064880370,./0.png
-93.9318167950446,47.3702287970375,25Z4742632,Transformer,47.37032318120,-93.93180847170,./0.png
-93.9319717841326,47.3705007966856,"029810",Transformer,47.37059402470,-93.93196105960,./0.png
-93.9287671978241,47.3744684481968,"70407864510",Transformer,47.37456130980,-93.92875671390,./0.png
-93.9297561831167,47.3724896909381,"89907055478",Transformer,47.37258529660,-93.92974853520,./0.png
-93.9262147388759,47.3731884959836,"50508029996",Transformer,47.37328338620,-93.92620849610,./0.png
-93.9288903246384,47.3714257149737,"80708565310",Transformer,47.37152099610,-93.92887878420,./0.png
