X,Y,wmElementN,wmType,wmDeviceTy,wmDevice_1,wmDevice_2,wmDevice_3,wmLightTab,wmLightT_1,wmLatitude,wmLongitud,icon_url
-93.9622688575178,47.3995885177403,54-3-25803-F4,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.39968490600,-93.96225738530,./0.png
-93.9360599679227,47.3241036985714,54-2-27902-F6,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.32419967650,-93.93605041500,./0.png
-93.6797502582849,47.4128353404841,54-4-24020-F1,Device,Fuse,,Fuse,,10T,100 Amp Tube,47.41292953490,-93.67974090580,./0.png
-93.817014341589,47.3422761175149,54-3-25927-F4,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.34236907960,-93.81700134280,./0.png
-93.8165677522558,47.2528594762516,54-2-28026-F1,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.25295257570,-93.81655883790,./0.png
-93.903040389645,47.295906248549,54-2-27913-F1,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.29600143430,-93.90303039550,./0.png
-93.7151591681121,47.3786480754094,54-4-23936-F4,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.37874221800,-93.71514892580,./0.png
-93.8814242765189,47.3511335956323,54-2-25929-F2,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.35122680660,-93.88141632080,./0.png
-94.1351031729543,47.4326916434329,54-3-23629-F2,Device,Fuse,,,Fuse,10T,100 Amp Tube,47.43278503420,-94.13509368900,./0.png
-94.0557674632182,47.4735520571893,54-3-23611-F1,Device,Fuse,,Fuse,,8T,100 Amp Tube,47.47364807130,-94.05575561520,./0.png
-93.9359278179442,47.3249719256194,54-2-25835-F11,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.32506561280,-93.93592071530,./0.png
-93.987832020776,47.4599957423255,54-3-23716-F2,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.46009063720,-93.98782348630,./0.png
-93.7091283958258,47.3824597286953,54-4-24031-F2,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.38255310060,-93.70911407470,./0.png
-93.8991987451935,47.3751747832702,54-3-25918-F5,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.37527084350,-93.89918518070,./0.png
-93.8995216867592,47.3101888367685,54-2-28007-F1,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.31028366090,-93.89951324460,./0.png
-93.9199492257602,47.3825982664239,54-3-25812-F1,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.38269424440,-93.91993713380,./0.png
-93.773525140991,47.3932764803997,54-4-23928-F1,Device,Fuse,,,Fuse,25T,100 Amp Tube,47.39337158200,-93.77351379390,./0.png
-93.7629316012875,47.3714866040343,54-4-23934-F2,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.37158203130,-93.76292419430,./0.png
-93.7302737852421,47.4220728558084,54-4-23913-F1,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.42216873170,-93.73026275630,./0.png
-93.9013221010337,47.2811384431309,54-2-28019-F1,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.28123092650,-93.90131378170,./0.png
-93.8679350247122,47.2513899386506,54-2-28032-F1,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.25148391720,-93.86792755130,./0.png
-93.7360602445438,47.3926854430096,54-4-23926-F2,Device,Fuse,,,Fuse,25T,100 Amp Tube,47.39278030400,-93.73605346680,./0.png
-94.0219740203545,47.4514084026934,54-3-23719-F3,Device,Fuse,,Fuse,,20T,100 Amp Tube,47.45150375370,-94.02196502690,./0.png
-93.7643844212855,47.3715108445006,54-4-23934-F9,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.37160491940,-93.76437377930,./0.png
-93.8102704986538,47.3681925148586,54-4-25923-F2,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36828613280,-93.81025695800,./0.png
-93.9942835187473,47.4141164516262,54-3-23732-F6,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.41421127320,-93.99427032470,./0.png
-93.8817441438665,47.336719768562,54-2-25931-F5,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.33681488040,-93.88173675540,./0.png
-93.9157072021143,47.2528303479807,54-2-27936-F2,Device,Fuse,,,Fuse,12T,100 Amp Tube,47.25292587280,-93.91569519040,./0.png
-93.8544162726038,47.3567488425989,54-3-25921-F4,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.35684204100,-93.85440826420,./0.png
-93.954361785147,47.3973022070241,54-3-25810-F4,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.39739608760,-93.95435333250,./0.png
-93.8897386076055,47.2504746139374,54-2-28031-F1,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.25056838990,-93.88973236080,./0.png
-93.8813298962236,47.3349547102078,54-1-25931-F1,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.33504867550,-93.88131713870,./0.png
-93.8809774517932,47.3639613264464,54-3-25919-F3,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36405563350,-93.88096618650,./0.png
-93.8489920177739,47.3548524045224,54-3-25921-F5,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.35494613650,-93.84898376460,./0.png
-93.8701203373772,47.3630612816004,54-3-25920-F2,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36315536500,-93.87010955810,./0.png
-93.8695329973458,47.367941146004,54-4-25920-F5,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.36803436280,-93.86952209470,./0.png
-93.8364694843631,47.3496599597275,54-3-25927-F5,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.34975433350,-93.83645629880,./0.png
-93.7005835078551,47.4093380318087,54-4-24019-F3,Device,Fuse,,Fuse,,20T,100 Amp Tube,47.40943145750,-93.70056915280,./0.png
